InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1,1121001032550,18.55,0.14, 0.38465,21.22683,53709.13446,0
1,1121001032550,18.48,0.13, 0.38467,21.22688,53709.14054,0
1,1121001032550,18.45,0.13, 0.38463,21.22651,53709.14657,0
1,1121001032550,18.28,0.12, 0.38453,21.22677,53709.15260,0
1,1121001032550,17.77,0.10, 0.38480,21.22678,53733.07154,0
1,1121001032550,17.61,0.10, 0.38469,21.22674,53733.07900,0
1,1121001032550,17.85,0.11, 0.38476,21.22670,53733.08648,0
1,1121001032550,17.99,0.11, 0.38476,21.22686,53733.09396,0
1,1121001032550,18.73,0.15, 0.38477,21.22679,53678.26987,0
1,1121001032550,18.87,0.16, 0.38467,21.22684,53678.27633,0
1,1121001032550,18.69,0.15, 0.38454,21.22683,53678.28280,0
1,1121001032550,18.54,0.14, 0.38446,21.22678,53678.28924,0
1,1121001032550,18.82,0.16, 0.38457,21.22688,53696.19387,0
1,1121001032550,18.64,0.15, 0.38465,21.22681,53696.20049,0
1,1121001032550,18.55,0.14, 0.38483,21.22686,53696.20692,0
1,1121001032550,18.78,0.16, 0.38473,21.22705,53696.21338,0
1,1121001032550,18.61,0.14, 0.38463,21.22684,53702.11993,0
1,1121001032550,18.71,0.15, 0.38446,21.22672,53702.12724,0
1,1121001032550,18.65,0.15, 0.38476,21.22690,53702.13418,0
1,1121001032550,18.55,0.14, 0.38474,21.22667,53702.14086,0
1,1121001032550,18.64,0.15, 0.38483,21.22677,53648.25951,0
1,1121001032550,18.63,0.15, 0.38463,21.22682,53648.26591,0
1,1121001032550,18.82,0.17, 0.38448,21.22684,53648.27236,0
1,1121001032550,18.64,0.15, 0.38467,21.22681,53648.27874,0
1,1121001032550,18.65,0.15, 0.38461,21.22695,53672.19055,0
1,1121001032550,18.60,0.14, 0.38480,21.22689,53672.19588,0
1,1121001032550,18.64,0.15, 0.38471,21.22688,53672.20122,0
1,1121001032550,18.52,0.14, 0.38471,21.22684,53672.20659,0
1,1121001032550,18.46,0.13, 0.38410,21.22664,54054.16122,0
1,1121001032550,18.67,0.14, 0.38471,21.22693,54054.17426,0
1,1121001032550,18.47,0.12, 0.38331,21.22862,54055.16814,0
1,1121001032550,18.64,0.14, 0.38470,21.22664,54062.14178,0
1,1121001032550,18.77,0.15, 0.38358,21.22498,54062.14954,0
1,1121001032550,18.72,0.14, 0.38480,21.22679,54062.15732,0
1,1121001032550,18.72,0.14, 0.38464,21.22674,54062.16508,0
1,1121001032550,18.68,0.14, 0.38469,21.22686,54027.21121,0
1,1121001032550,18.36,0.14, 0.38319,21.22681,54028.27638,0
1,1121001032550,18.72,0.14, 0.38464,21.22677,54028.28676,0
1,1121001032550,18.66,0.14, 0.38517,21.22769,54029.21377,0
1,1121001032550,18.47,0.13, 0.38432,21.22606,54029.22402,0
1,1121001032550,18.63,0.14, 0.38463,21.22674,54039.14835,0
1,1121001032550,18.48,0.13, 0.38457,21.22685,54039.15500,0
1,1121001032550,18.70,0.14, 0.38495,21.22657,54039.16161,0
1,1121001032550,18.42,0.14, 0.38385,21.22863,53994.38660,0
1,1121001032550,18.52,0.13, 0.38495,21.22818,53994.39619,0
1,1121001032550,18.59,0.14, 0.38338,21.22748,53994.40097,0
1,1121001032550,18.58,0.13, 0.38460,21.22676,53995.29934,0
1,1121001032550,18.70,0.14, 0.38473,21.22685,53997.30254,0
1,1121001032550,18.61,0.14, 0.38321,21.22683,54006.25047,0
1,1121001032550,18.57,0.14, 0.38468,21.22690,54006.25700,0
1,1121001032550,18.69,0.14, 0.38477,21.22674,54006.26352,0
1,1121001032550,18.49,0.13, 0.38438,21.22755,54006.26999,0
1,1121001032550,18.86,0.28, 0.38472,21.22653,54007.17901,0
1,1121001032550,19.11,0.33, 0.38446,21.22659,54007.18150,0
1,1121001032550,18.83,0.28, 0.38483,21.22703,54007.18402,0
1,1121001032550,18.56,0.26, 0.38475,21.22667,54007.18650,0
1,1121001032550,18.74,0.15, 0.38475,21.22690,54119.07580,0
1,1121001032550,18.81,0.15, 0.38466,21.22684,54119.08177,0
1,1121001032550,18.70,0.24, 0.38420,21.22725,54119.09376,0
1,1121001032550,18.56,0.15, 0.38467,21.22692,54276.37511,0
1,1121001032550,18.90,0.17, 0.38483,21.22671,54276.38183,0
1,1121001032550,18.44,0.14, 0.38474,21.22691,54276.38860,0
1,1121001032550,18.82,0.16, 0.38487,21.22687,54276.39538,0
1,1121001032550,18.71,0.15, 0.38453,21.22770,54405.20426,0
1,1121001032550,18.75,0.15, 0.38483,21.22690,54405.21082,0
1,1121001032550,18.55,0.16, 0.38458,21.22688,54412.18693,0
1,1121001032550,18.53,0.19, 0.38474,21.22676,54412.19643,0
1,1121001032550,18.88,0.22, 0.38467,21.22681,54412.20594,0
1,1121001032550,18.69,0.17, 0.38467,21.22691,54412.21549,0
1,1121001032550,18.59,0.14, 0.38461,21.22687,54422.13926,0
1,1121001032550,18.47,0.13, 0.38462,21.22693,54422.14624,0
1,1121001032550,18.41,0.13, 0.38452,21.22694,54422.15323,0
1,1121001032550,18.20,0.12, 0.38473,21.22689,54422.16021,0
1,1121001032550,18.04,0.11, 0.38477,21.22685,54381.30188,0
